decision_id,decision_timestamp,agent_type,confidence,session_id,conversation_timestamp,source_path,winning_turn,score,score_margin,appears_unique,ambiguity,diagnostic_failure_mode
ms-c0d56306:d1,2026-05-26T22:32:00+00:00,codex,Medium,019e5f82-bca6-74f3-b226-422af8de505f,2026-05-25T14:21:04.123000+00:00,.codex/sessions/2026/05/25/rollout-2026-05-25T15-21-04-019e5f82-bca6-74f3-b226-422af8de505f.jsonl,74,0.46822060428519824,0.46822060428519824,True,,
mse_03fpxwznab7efk1r:d1,2026-07-08T07:23:00+00:00,codex,Low,019f3d0f-e0d9-7f33-a335-ee1a679f0137,2026-07-07T14:51:23.674000+00:00,.codex/sessions/2026/07/07/rollout-2026-07-07T15-51-23-019f3d0f-e0d9-7f33-a335-ee1a679f0137.jsonl,1,0.24220564699226949,0.24220564699226949,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_17d0qqh34a07qp5b:d2,2026-08-03T14:41:00+00:00,codex,No match,019fbeb0-1b29-72f1-a521-6882d819ff78,2026-08-01T18:57:20.350000+00:00,.codex/sessions/2026/08/01/rollout-2026-08-01T19-57-20-019fbeb0-1b29-72f1-a521-6882d819ff78.jsonl,1,0.15751375735690112,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_1pnca07xsfs8tcay:d1,2026-08-21T21:10:00+00:00,codex,Low,01a02623-5ba1-7793-96d0-7e7f575afeb9,2026-08-21T21:04:06.715000+00:00,.codex/sessions/2026/08/21/rollout-2026-08-21T22-04-06-01a02623-5ba1-7793-96d0-7e7f575afeb9.jsonl,1,0.2813052638354494,0.0,False,competitive second session,multiple conversations discuss similar material
mse_30022b9j3aprw5ye:d1,2026-09-19T13:08:00+00:00,codex,No match,01a0b5c8-d457-7373-ba56-a59739634552,2026-09-18T18:30:32.958000+00:00,.codex/sessions/2026/09/18/rollout-2026-09-18T19-30-32-01a0b5c8-d457-7373-ba56-a59739634552.jsonl,42,0.14899221058310896,0.03798211972408316,True,,no sufficiently similar conversation window in the temporal candidate set
mse_30v60e8c3xa380yd:d1,2026-09-19T00:11:00+00:00,codex,No match,01a0a9a0-7bb6-7261-8dd1-0eb2688eb712,2026-09-16T09:51:02.231000+00:00,.codex/sessions/2026/09/16/rollout-2026-09-16T10-51-02-01a0a9a0-7bb6-7261-8dd1-0eb2688eb712.jsonl,6,0.20926882465053304,0.012321596339310681,True,,no sufficiently similar conversation window in the temporal candidate set
mse_4f8g7h2j9k3m5n6p:d1,2026-07-07T10:35:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_542z3qn0azma9mmx:d1,2026-07-07T11:52:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_6p7r8s9t2v3w4x5y:d2,2026-09-05T22:00:00+00:00,codex,No match,01a05ef9-96eb-7232-a0d7-71cf48d55c3a,2026-09-03T21:34:22.473000+00:00,.codex/sessions/2026/09/03/rollout-2026-09-03T22-34-22-01a06931-bcab-7d21-aa13-6797877d7f87.jsonl,1,0.1504376662593192,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_7a4k2xkra5cgb478:d1,2026-07-16T18:33:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.16596133389470416,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_8jv73n6rqy9f3rp1:d1,2026-07-13T00:19:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_9p4r6t8v1x3z5b7n:d1,2026-09-05T22:52:00+00:00,codex,No match,01a05ef9-96eb-7232-a0d7-71cf48d55c3a,2026-09-03T21:34:22.473000+00:00,.codex/sessions/2026/09/03/rollout-2026-09-03T22-34-22-01a06931-bcab-7d21-aa13-6797877d7f87.jsonl,1,0.1640791672056842,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_a0bxp5n1wcnsjxvw:d1,2026-07-15T17:05:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.24626874186563114,0.0,False,competitive second session,multiple conversations discuss similar material
mse_bdj36a1jzqxv8wpw:d1,2026-09-08T06:41:00+00:00,codex,Low,01a07df8-bc76-76f0-98f8-6b1a4015ea1a,2026-09-07T22:24:08.515000+00:00,.codex/sessions/2026/09/07/rollout-2026-09-07T23-24-08-01a07df8-bc76-76f0-98f8-6b1a4015ea1a.jsonl,25,0.2419691579628691,0.0,False,competitive second session,multiple conversations discuss similar material
mse_caj7ys6j6zbxp5rk:d1,2026-09-19T08:37:00+00:00,codex,Low,01a0b5c8-d457-7373-ba56-a59739634552,2026-09-18T18:30:32.958000+00:00,.codex/sessions/2026/09/18/rollout-2026-09-18T19-30-32-01a0b5c8-d457-7373-ba56-a59739634552.jsonl,1,0.22812854736066904,0.05974078990973297,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_cj7z5neet732drqx:d1,2026-09-07T09:58:00+00:00,codex,No match,01a05ef9-96eb-7232-a0d7-71cf48d55c3a,2026-09-05T12:50:25.762000+00:00,.codex/sessions/2026/09/05/rollout-2026-09-05T13-50-25-01a0719e-c4cc-7a72-b7ba-d291ce83f937.jsonl,5,0.13748223828562733,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_ddba1ztxqhasfbwf:d2,2026-07-16T22:18:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.25348400855321657,0.0,False,competitive second session,multiple conversations discuss similar material
mse_dpmr8p34a7ec6x43:d1,2026-09-22T19:39:00+00:00,codex,No match,01a0cad1-cd8e-78d1-83b8-55f250bcdd27,2026-09-22T20:32:22.626000+00:00,.codex/sessions/2026/09/22/rollout-2026-09-22T21-32-22-01a0cad1-cd8e-78d1-83b8-55f250bcdd27.jsonl,1,0.16946671174581243,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
